country,site,latlong,expenseGroup,expenseSubGroup,baseline
New Zealand,Auckland DC,"-36.84846,174.763332",Mail Room & Reception,8238 Courier Services,140
Singapore,Jurong,"1.364434,103.775263",Mail Room & Reception,8238 Courier Services,140
Australia,Ringwood,"-37.814262,145.227386","Meetings, Communications, Events",8260 Conference Rooms,136
India,Mumbai EC,"19.030029,72.861308",Projects,8005 Project Mngmnt Services,136
New Zealand,Auckland DC,"-36.84846,174.763332",Projects,8005 Project Mngmnt Services,132
Australia,Port Melbourne,"-37.836926,144.94455",Projects,8120 Space Planning Services,131
Thailand,Lad Krabang,"13.722049,100.784157","Meetings, Communications, Events",8260 Conference Rooms,131
Australia,South Wharf,"-37.824997,144.951999",Mail Room & Reception,8238 Courier Services,130
Thailand,Lad Krabang,"13.722049,100.784157",Real Estate & Property management,8300 Property Mgt Services,130
Australia,Port Melbourne,"-37.836926,144.94455","Meetings, Communications, Events",8260 Conference Rooms,119
Thailand,Lad Krabang,"13.722049,100.784157",Mail Room & Reception,8238 Courier Services,119
Singapore,Jurong,"1.364434,103.775263",M&E Equipment,1302 Building R/M-Boiler Maint,119
Australia,Dandenong VDC,"-37.98746,145.214861",Projects,8120 Space Planning Services,117
Australia,Port Melbourne,"-37.836926,144.94455",Mail Room & Reception,8235 Mailroom Services,114
Singapore,Keppel Bay Towers,"1.352083,103.819836",Projects,8005 Project Mngmnt Services,114
Australia,Scoresby,"-37.898567,145.230362",Mail Room & Reception,8255 Shipping and Receiving,113
Singapore,Jurong,"1.364434,103.775263","Meetings, Communications, Events",8260 Conference Rooms,113
Australia,Port Melbourne,"-37.836926,144.94455","Meetings, Communications, Events",8263 Event Management,110
Thailand,Lad Krabang,"13.722049,100.784157",Mail Room & Reception,5710 Reception Services,110
New Zealand,Dunedin,"-45.87876,170.502798",Real Estate & Property management,8300 Property Mgt Services,107
India,Baddi,"30.957826,76.791356",Reprographics & Stationery,8221 Print/Paper Supply,99
Australia,Port Melbourne,"-37.836926,144.94455",Cleaning,0311 External Area Cleaning,98
India,Baddi,"30.957826,76.791356",Reprographics & Stationery,8222 Central Reprographics,78
Singapore,Jurong,"1.364434,103.775263","E, H, S & Q, compliance",8218 Health and Safety Srvcs,76
Singapore,Jurong,"1.364434,103.775263",Reprographics & Stationery,8151 Stationery Management,40
Singapore,Jurong,"1.364434,103.775263",M&E Equipment,1802 Interior - Signage,40
India,Mumbai EC,"19.030029,72.861308",Cleaning,0201 Cleaning (Interior),0
India,Mumbai EC,"19.030029,72.861308",Catering,8024 Catering - Hospitality,0
India,Baddi,"30.957826,76.791356",Cleaning,1801 Interior - Pest Control,0
Australia,Claremont,"-31.981633,115.781288",Security,4100 Secty-Fence&Barriers,50024
Australia,Claremont,"-31.981633,115.781288",Security,4202 Secty-Emergency Planning,52551
Australia,Claremont,"-31.981633,115.781288",Security,4203 Secty-Lock & Key Controls,22220
Australia,Claremont,"-31.981633,115.781288",Security,4300 Security - Monitoring,24055
Australia,Claremont,"-31.981633,115.781288",Security,4410 Secty-Eqpt CCTV Maint,31594
Australia,Claremont,"-31.981633,115.781288",Reprographics & Stationery,8151 Stationery Management,22390
Australia,Claremont,"-31.981633,115.781288",Reprographics & Stationery,8221 Print/Paper Supply,21133
Australia,Claremont,"-31.981633,115.781288",Reprographics & Stationery,8222 Central Reprographics,6281
Australia,Claremont,"-31.981633,115.781288",Utilities,2001 Utilities - Electrical,13143
Australia,Claremont,"-31.981633,115.781288",Utilities,2002 Utilities - Gas,52100
Australia,Claremont,"-31.981633,115.781288",Utilities,2003 Utilities - Fuel Oil,52011
Australia,Claremont,"-31.981633,115.781288",Utilities,2004 Utilities - Steam,40259
Australia,Claremont,"-31.981633,115.781288",Utilities,2006 Utilities - Water,48138
Australia,Claremont,"-31.981633,115.781288",Utilities,2007 Utilities - Sewer,32540
Australia,Ringwood,"-37.814262,145.227386",Security,4100 Secty-Fence&Barriers,7531
Australia,Ringwood,"-37.814262,145.227386",Security,4202 Secty-Emergency Planning,26720
Australia,Ringwood,"-37.814262,145.227386",Security,4203 Secty-Lock & Key Controls,34206
Australia,Ringwood,"-37.814262,145.227386",Security,4300 Security - Monitoring,40091
Australia,Ringwood,"-37.814262,145.227386",Security,4410 Secty-Eqpt CCTV Maint,52123
Australia,Ringwood,"-37.814262,145.227386",Reprographics & Stationery,8151 Stationery Management,9372
Australia,Ringwood,"-37.814262,145.227386",Reprographics & Stationery,8221 Print/Paper Supply,44707
Australia,Ringwood,"-37.814262,145.227386",Reprographics & Stationery,8222 Central Reprographics,15482
Australia,Ringwood,"-37.814262,145.227386",Utilities,2001 Utilities - Electrical,45303
Australia,Ringwood,"-37.814262,145.227386",Utilities,2002 Utilities - Gas,6690
Australia,Ringwood,"-37.814262,145.227386",Utilities,2003 Utilities - Fuel Oil,48892
Australia,Ringwood,"-37.814262,145.227386",Utilities,2004 Utilities - Steam,46836
Australia,Ringwood,"-37.814262,145.227386",Utilities,2006 Utilities - Water,18674
Australia,Ringwood,"-37.814262,145.227386",Utilities,2007 Utilities - Sewer,21239
Australia,Scoresby,"-37.898567,145.230362",Security,4100 Secty-Fence&Barriers,47329
Australia,Scoresby,"-37.898567,145.230362",Security,4202 Secty-Emergency Planning,33803
Australia,Scoresby,"-37.898567,145.230362",Security,4203 Secty-Lock & Key Controls,16693
Australia,Scoresby,"-37.898567,145.230362",Security,4300 Security - Monitoring,7433
Australia,Scoresby,"-37.898567,145.230362",Security,4410 Secty-Eqpt CCTV Maint,27080
Australia,Scoresby,"-37.898567,145.230362",Reprographics & Stationery,8151 Stationery Management,54492
Australia,Scoresby,"-37.898567,145.230362",Reprographics & Stationery,8221 Print/Paper Supply,30487
Australia,Scoresby,"-37.898567,145.230362",Reprographics & Stationery,8222 Central Reprographics,26203
Australia,Scoresby,"-37.898567,145.230362",Utilities,2001 Utilities - Electrical,27788
Australia,Scoresby,"-37.898567,145.230362",Utilities,2002 Utilities - Gas,16514
Australia,Scoresby,"-37.898567,145.230362",Utilities,2003 Utilities - Fuel Oil,10889
Australia,Scoresby,"-37.898567,145.230362",Utilities,2004 Utilities - Steam,15939
Australia,Scoresby,"-37.898567,145.230362",Utilities,2006 Utilities - Water,34195
Australia,Scoresby,"-37.898567,145.230362",Utilities,2007 Utilities - Sewer,51334
Australia,Port Melbourne,"-37.836926,144.94455",Security,4202 Secty-Emergency Planning,47580
Australia,Port Melbourne,"-37.836926,144.94455",Security,4300 Security - Monitoring,11908
Australia,Port Melbourne,"-37.836926,144.94455",Reprographics & Stationery,8151 Stationery Management,39546
Australia,Port Melbourne,"-37.836926,144.94455",Reprographics & Stationery,8221 Print/Paper Supply,17219
Australia,Port Melbourne,"-37.836926,144.94455",Reprographics & Stationery,8222 Central Reprographics,13348
Australia,Port Melbourne,"-37.836926,144.94455",Utilities,2001 Utilities - Electrical,56165
Australia,Port Melbourne,"-37.836926,144.94455",Utilities,2002 Utilities - Gas,29580
Australia,Port Melbourne,"-37.836926,144.94455",Utilities,2003 Utilities - Fuel Oil,23446
Australia,Port Melbourne,"-37.836926,144.94455",Utilities,2004 Utilities - Steam,12992
Australia,Port Melbourne,"-37.836926,144.94455",Utilities,2006 Utilities - Water,39244
Australia,Port Melbourne,"-37.836926,144.94455",Utilities,2007 Utilities - Sewer,26839
Australia,South Wharf,"-37.824997,144.951999",Security,4200 Security - Guards,57046
Australia,South Wharf,"-37.824997,144.951999",Security,4100 Secty-Fence&Barriers,6596
Australia,South Wharf,"-37.824997,144.951999",Security,4202 Secty-Emergency Planning,8089
Australia,South Wharf,"-37.824997,144.951999",Security,4410 Secty-Eqpt CCTV Maint,18152
Australia,South Wharf,"-37.824997,144.951999",Reprographics & Stationery,8221 Print/Paper Supply,51980
Australia,South Wharf,"-37.824997,144.951999",Reprographics & Stationery,8222 Central Reprographics,22622
Australia,South Wharf,"-37.824997,144.951999",Utilities,2001 Utilities - Electrical,20302
Australia,South Wharf,"-37.824997,144.951999",Utilities,2002 Utilities - Gas,54456
Australia,South Wharf,"-37.824997,144.951999",Utilities,2003 Utilities - Fuel Oil,31065
Australia,South Wharf,"-37.824997,144.951999",Utilities,2004 Utilities - Steam,39014
Australia,South Wharf,"-37.824997,144.951999",Utilities,2006 Utilities - Water,24453
Australia,South Wharf,"-37.824997,144.951999",Utilities,2007 Utilities - Sewer,23060
Australia,Dandenong VDC,"-37.98746,145.214861",Security,4200 Security - Guards,21493
Australia,Dandenong VDC,"-37.98746,145.214861",Security,4202 Secty-Emergency Planning,17452
Australia,Dandenong VDC,"-37.98746,145.214861",Security,4203 Secty-Lock & Key Controls,58445
Australia,Dandenong VDC,"-37.98746,145.214861",Security,4300 Security - Monitoring,5969
Australia,Dandenong VDC,"-37.98746,145.214861",Security,4410 Secty-Eqpt CCTV Maint,22266
Australia,Dandenong VDC,"-37.98746,145.214861",Reprographics & Stationery,8151 Stationery Management,35092
Australia,Dandenong VDC,"-37.98746,145.214861",Reprographics & Stationery,8221 Print/Paper Supply,32114
Australia,Dandenong VDC,"-37.98746,145.214861",Reprographics & Stationery,8222 Central Reprographics,10791
Australia,Dandenong VDC,"-37.98746,145.214861",Utilities,2001 Utilities - Electrical,46272
Australia,Dandenong VDC,"-37.98746,145.214861",Utilities,2002 Utilities - Gas,14205
Australia,Dandenong VDC,"-37.98746,145.214861",Utilities,2003 Utilities - Fuel Oil,6664
Australia,Dandenong VDC,"-37.98746,145.214861",Utilities,2004 Utilities - Steam,53987
Australia,Dandenong VDC,"-37.98746,145.214861",Utilities,2006 Utilities - Water,30477
Australia,Dandenong VDC,"-37.98746,145.214861",Utilities,2007 Utilities - Sewer,31559
Australia,State Sales Offices,"-37.814107,144.96328",Security,4200 Security - Guards,26856
Australia,State Sales Offices,"-37.814107,144.96328",Security,4100 Secty-Fence&Barriers,56653
Australia,State Sales Offices,"-37.814107,144.96328",Security,4202 Secty-Emergency Planning,16641
Australia,State Sales Offices,"-37.814107,144.96328",Security,4410 Secty-Eqpt CCTV Maint,31890
Australia,State Sales Offices,"-37.814107,144.96328",Reprographics & Stationery,8151 Stationery Management,20818
Australia,State Sales Offices,"-37.814107,144.96328",Reprographics & Stationery,8221 Print/Paper Supply,47029
Australia,State Sales Offices,"-37.814107,144.96328",Reprographics & Stationery,8222 Central Reprographics,55221
Australia,State Sales Offices,"-37.814107,144.96328",Utilities,2001 Utilities - Electrical,20265
Australia,State Sales Offices,"-37.814107,144.96328",Utilities,2002 Utilities - Gas,7931
Australia,State Sales Offices,"-37.814107,144.96328",Utilities,2003 Utilities - Fuel Oil,6022
Australia,State Sales Offices,"-37.814107,144.96328",Utilities,2004 Utilities - Steam,33635
